Location,BHK,Area_sqft,Price_Lakhs,Age_Years,Parking,Status
Wakad - Pune,2,1105,74.18,7,No,Available
Navi Mumbai - Mumbai,2,1132,108.36,20,Yes,Available
Banjara Hills - Hyderabad,3,1729,312.74,4,Yes,Sold
HSR Layout - Bangalore,3,1670,166.26,0,Yes,Available
Hadapsar - Pune,2,1058,71.08,12,Yes,Available
Thane - Mumbai,2,1080,141.63,15,Yes,Sold
Dwarka - Delhi,1,616,50.2,4,No,Available
OMR - Chennai,2,1099,71.86,8,Yes,Available
Kothrud - Pune,3,1506,167.77,6,Yes,Sold
Hebbal - Bangalore,1,554,42.27,10,Yes,Available
Whitefield - Bangalore,2,1080,89.71,0,Yes,Available
OMR - Chennai,3,1684,107.86,4,Yes,Available
Velachery - Chennai,2,1069,83.57,2,Yes,Sold
Banjara Hills - Hyderabad,2,913,149.2,6,Yes,Available
Hadapsar - Pune,3,1590,111.64,7,No,Sold
Indiranagar - Bangalore,3,1703,264.22,1,Yes,Sold
Wakad - Pune,2,1062,67.13,8,Yes,Available
Navi Mumbai - Mumbai,3,1621,206.93,5,Yes,Available
Hinjewadi - Pune,2,941,74.81,15,No,Sold
OMR - Chennai,1,612,36.31,1,Yes,Sold
Electronic City - Bangalore,2,1143,81.93,4,Yes,Available
Koramangala - Bangalore,4,2414,381.32,10,No,Available
Tambaram - Chennai,1,546,23.99,7,Yes,Sold
Thane - Mumbai,4,2418,291.22,12,Yes,Available
Navi Mumbai - Mumbai,3,1690,164.96,8,No,Available
OMR - Chennai,4,2317,149.47,1,No,Available
Wakad - Pune,3,1533,99.6,8,Yes,Available
Marathahalli - Bangalore,4,2527,202.42,6,No,Available
Indiranagar - Bangalore,3,1381,200.33,12,No,Sold
Hadapsar - Pune,1,499,31.41,2,Yes,Available
Andheri - Mumbai,2,1021,247.71,8,Yes,Available
Sarjapur - Bangalore,2,917,61.08,1,Yes,Sold
Noida Sector 62 - Delhi,3,1635,141.71,7,Yes,Available
Borivali - Mumbai,3,1542,251.84,3,Yes,Sold
Hebbal - Bangalore,2,1137,95.2,3,No,Sold
Hadapsar - Pune,2,1169,67.7,10,Yes,Available
Porur - Chennai,3,1464,120.17,4,Yes,Available
Whitefield - Bangalore,3,1669,132.86,6,No,Available
Noida Sector 62 - Delhi,2,1037,80.37,5,Yes,Sold
Rohini - Delhi,1,585,40.51,2,Yes,Sold
Powai - Mumbai,3,1483,353.68,3,Yes,Available
HSR Layout - Bangalore,3,1463,146.49,4,Yes,Sold
Wakad - Pune,3,1567,97.6,12,No,Available
Kukatpally - Hyderabad,3,1554,97.39,8,Yes,Available
Hitech City - Hyderabad,2,1231,117.98,5,No,Sold
Kothrud - Pune,2,909,91.15,3,Yes,Available
Sarjapur - Bangalore,2,1025,72.01,8,Yes,Available
Noida Sector 62 - Delhi,4,2905,247.13,0,Yes,Available
Andheri - Mumbai,3,1821,334.97,7,Yes,Available
Tambaram - Chennai,2,1113,79.41,1,No,Available
Banjara Hills - Hyderabad,4,2624,379.06,5,Yes,Available
Tambaram - Chennai,2,1060,55.82,8,No,Sold
Dwarka - Delhi,2,908,86.11,12,Yes,Available
Hinjewadi - Pune,2,1029,65.37,6,Yes,Sold
Borivali - Mumbai,2,1106,231.54,5,No,Available
Velachery - Chennai,3,1492,128.64,8,Yes,Sold
Marathahalli - Bangalore,2,1060,79.55,6,Yes,Sold
Dwarka - Delhi,1,559,56.81,10,Yes,Sold
Velachery - Chennai,2,1029,98.3,5,Yes,Sold
Hadapsar - Pune,2,954,71.11,2,Yes,Available
Tambaram - Chennai,3,1555,95.55,7,Yes,Sold
Jubilee Hills - Hyderabad,2,1080,157.39,7,No,Available
Gurgaon - Delhi,2,1053,146.85,20,Yes,Available
Kothrud - Pune,3,1562,123.84,20,Yes,Sold
Sarjapur - Bangalore,3,1533,123.35,0,Yes,Available
Rohini - Delhi,3,1384,96.58,10,Yes,Available
Gurgaon - Delhi,2,1104,126.18,5,Yes,Sold
Wakad - Pune,3,1760,159.52,6,Yes,Available
Hinjewadi - Pune,3,1545,91.19,7,Yes,Available
Sarjapur - Bangalore,3,1615,138.49,1,Yes,Sold
Hebbal - Bangalore,2,1039,90.56,15,Yes,Sold
HSR Layout - Bangalore,1,611,58.45,20,Yes,Available
Velachery - Chennai,2,1017,99.15,4,No,Sold
Navi Mumbai - Mumbai,3,1662,155.61,15,Yes,Sold
Dwarka - Delhi,2,1075,125.21,7,Yes,Sold
Thane - Mumbai,2,1092,109.95,12,Yes,Sold
Tambaram - Chennai,2,1010,45.9,10,Yes,Available
Velachery - Chennai,2,887,81.51,8,Yes,Sold
Koramangala - Bangalore,2,944,125.83,7,Yes,Available
Velachery - Chennai,1,531,46.37,6,Yes,Sold
Jubilee Hills - Hyderabad,2,999,182.54,6,Yes,Available
Wakad - Pune,2,1007,68.28,20,Yes,Sold
Miyapur - Hyderabad,3,1731,103.61,12,Yes,Sold
Velachery - Chennai,2,1212,90.02,4,No,Available
Hitech City - Hyderabad,2,962,74.65,12,Yes,Available
Electronic City - Bangalore,3,1427,91.08,2,Yes,Sold
Wakad - Pune,2,993,67.71,4,Yes,Available
Bandra - Mumbai,2,1118,406.39,2,Yes,Available
Hitech City - Hyderabad,2,1177,100.77,3,Yes,Sold
Porur - Chennai,3,1687,135.07,2,Yes,Sold
Noida Sector 62 - Delhi,2,1000,83.41,7,No,Available
Kondapur - Hyderabad,2,1101,104.31,1,Yes,Sold
Gurgaon - Delhi,4,2492,325.09,0,Yes,Available
Gurgaon - Delhi,3,1871,235.3,1,Yes,Available
Miyapur - Hyderabad,3,1602,103.54,4,No,Sold
Noida Sector 62 - Delhi,3,1651,113.06,5,Yes,Available
Electronic City - Bangalore,2,1031,78.75,6,Yes,Sold
Navi Mumbai - Mumbai,2,947,89.93,7,Yes,Available
Gurgaon - Delhi,1,427,45.2,15,No,Available
OMR - Chennai,4,2223,160.06,20,Yes,Sold
Powai - Mumbai,2,1080,282.04,3,Yes,Available
Hadapsar - Pune,2,997,74.33,6,Yes,Available
Sarjapur - Bangalore,3,1703,109.81,8,No,Available
Banjara Hills - Hyderabad,2,951,167.68,2,No,Available
Anna Nagar - Chennai,2,1042,101.09,6,Yes,Available
Marathahalli - Bangalore,2,1009,69.58,5,No,Sold
Indiranagar - Bangalore,2,1044,132.38,4,Yes,Available
Indiranagar - Bangalore,4,2401,296.32,10,No,Available
Kondapur - Hyderabad,2,1025,75.67,3,Yes,Available
Gurgaon - Delhi,2,1116,151.52,5,No,Sold
Bandra - Mumbai,3,1586,635.96,0,Yes,Sold
Miyapur - Hyderabad,2,1087,56.97,2,No,Sold
Vasant Kunj - Delhi,2,1027,165.71,4,Yes,Available
Kondapur - Hyderabad,2,1004,81.86,5,Yes,Sold
Vasant Kunj - Delhi,2,1093,236.91,2,Yes,Sold
Kukatpally - Hyderabad,3,1448,87.83,1,Yes,Sold
Anna Nagar - Chennai,4,2444,338.69,12,Yes,Available
Velachery - Chennai,3,1528,156.16,3,Yes,Available
Porur - Chennai,4,2477,192.97,5,Yes,Available
Tambaram - Chennai,2,1173,64.81,4,Yes,Sold
Hebbal - Bangalore,4,2368,256.63,0,No,Available
Koramangala - Bangalore,2,1129,174.95,10,Yes,Available
Koramangala - Bangalore,2,1193,186.15,5,Yes,Sold
Hinjewadi - Pune,3,1648,105.38,3,Yes,Sold
Jubilee Hills - Hyderabad,2,1164,164.2,7,No,Sold
Hebbal - Bangalore,3,1448,105.41,20,No,Available
Hadapsar - Pune,2,977,61.88,10,No,Available
Kothrud - Pune,2,896,95.82,2,Yes,Sold
Hinjewadi - Pune,2,1030,76.54,10,Yes,Available
HSR Layout - Bangalore,3,1615,158.06,15,Yes,Sold
Hadapsar - Pune,1,528,32.72,8,Yes,Sold
Borivali - Mumbai,2,1116,235.36,10,Yes,Sold
Andheri - Mumbai,3,1685,325.38,6,Yes,Sold
Baner - Pune,2,1040,100.08,4,Yes,Sold
Kothrud - Pune,2,1102,106.96,5,No,Available
Kukatpally - Hyderabad,2,1174,86.55,0,Yes,Available
Powai - Mumbai,2,905,186.09,8,Yes,Sold
Marathahalli - Bangalore,2,1108,88.56,6,No,Available
Dwarka - Delhi,3,1431,138.01,6,Yes,Available
Andheri - Mumbai,2,926,183.95,20,Yes,Sold
Hadapsar - Pune,4,2117,155.6,5,Yes,Sold
Madhapur - Hyderabad,1,577,39.13,15,Yes,Sold
Baner - Pune,2,1222,116.33,10,Yes,Sold
HSR Layout - Bangalore,3,1363,151.64,0,Yes,Available
Kondapur - Hyderabad,2,1177,95.37,2,Yes,Available
Tambaram - Chennai,4,2330,142.36,1,Yes,Sold
Baner - Pune,2,976,79.17,15,No,Sold
Koramangala - Bangalore,3,1584,180.6,6,Yes,Sold
Kondapur - Hyderabad,2,1051,93.8,10,Yes,Available
Dwarka - Delhi,4,2517,223.9,5,Yes,Sold
Hitech City - Hyderabad,2,1213,111.92,7,Yes,Available
Banjara Hills - Hyderabad,2,855,114.99,5,Yes,Available
Bandra - Mumbai,3,1515,616.08,8,Yes,Sold
Dwarka - Delhi,2,905,77.2,2,Yes,Available
Hinjewadi - Pune,3,1723,133.78,1,Yes,Sold
Madhapur - Hyderabad,2,1251,82.36,8,Yes,Available
Noida Sector 62 - Delhi,1,595,45.52,5,Yes,Available
Electronic City - Bangalore,2,992,83.98,0,Yes,Available
Noida Sector 62 - Delhi,3,1616,112.84,4,Yes,Available
Gachibowli - Hyderabad,2,959,93.47,0,Yes,Available
Whitefield - Bangalore,2,1028,69.9,7,No,Available
Kothrud - Pune,2,1174,143.64,2,Yes,Sold
Jubilee Hills - Hyderabad,3,1505,281.07,4,No,Available
Gurgaon - Delhi,3,1861,240.3,1,Yes,Sold
Whitefield - Bangalore,4,2478,215.87,10,No,Sold
Hinjewadi - Pune,3,1658,132.6,15,Yes,Sold
Gurgaon - Delhi,2,1065,137.98,6,Yes,Available
Gachibowli - Hyderabad,2,1029,75.67,8,Yes,Available
Andheri - Mumbai,2,1091,269.44,2,No,Sold
Bandra - Mumbai,2,812,358.82,10,Yes,Available
Hitech City - Hyderabad,3,1554,168.77,1,Yes,Available
Thane - Mumbai,3,1531,155.42,2,No,Available
Kukatpally - Hyderabad,3,1473,88.46,2,Yes,Available
Electronic City - Bangalore,3,1496,115.38,0,Yes,Available
Navi Mumbai - Mumbai,2,1061,88.84,20,Yes,Available
Wakad - Pune,2,980,91.02,1,Yes,Available
OMR - Chennai,2,1182,69.59,7,No,Sold
Kukatpally - Hyderabad,4,2260,171.82,4,No,Sold
HSR Layout - Bangalore,4,2545,265.37,7,No,Sold
Banjara Hills - Hyderabad,2,948,123.78,12,No,Available
Miyapur - Hyderabad,1,572,31.56,7,No,Sold
Kondapur - Hyderabad,3,1307,91.68,15,Yes,Sold
Gachibowli - Hyderabad,1,578,48.51,6,Yes,Available
Koramangala - Bangalore,2,949,142.77,0,No,Available
Madhapur - Hyderabad,2,976,72.48,12,No,Sold
OMR - Chennai,3,1663,149.49,0,Yes,Available
Porur - Chennai,3,1676,112.91,3,Yes,Available
OMR - Chennai,3,1418,78.25,10,No,Available
Rohini - Delhi,2,1069,104.82,3,No,Sold
Indiranagar - Bangalore,2,1212,150.18,20,No,Available
Madhapur - Hyderabad,2,1141,93.73,7,Yes,Available
Powai - Mumbai,4,2279,450.32,12,No,Available
OMR - Chennai,2,1195,85.99,7,Yes,Available
Tambaram - Chennai,3,1626,83.37,6,Yes,Sold
Rohini - Delhi,1,541,44.81,15,Yes,Sold
Indiranagar - Bangalore,4,2730,405.93,0,Yes,Sold
Kukatpally - Hyderabad,3,1665,124.6,1,No,Sold
Hinjewadi - Pune,2,1087,67.84,10,No,Sold
Hadapsar - Pune,2,1012,62.04,8,No,Available
Sarjapur - Bangalore,1,556,43.69,4,Yes,Sold
Kothrud - Pune,3,1820,170.21,3,Yes,Sold
Bandra - Mumbai,3,1550,680.67,5,No,Available
HSR Layout - Bangalore,2,1038,99.41,5,Yes,Sold
Rohini - Delhi,3,1400,105.38,15,Yes,Sold
Hitech City - Hyderabad,3,1547,136.81,12,Yes,Available
Hebbal - Bangalore,2,1018,103.68,1,Yes,Available
Hadapsar - Pune,2,1197,73.6,2,Yes,Available
Wakad - Pune,2,980,80.3,8,No,Sold
Kukatpally - Hyderabad,4,2357,157.99,2,Yes,Available
Whitefield - Bangalore,2,962,85.04,2,Yes,Available
Baner - Pune,2,1164,99.3,7,Yes,Available
Gurgaon - Delhi,2,996,107.52,7,Yes,Available
Kukatpally - Hyderabad,2,1173,70.57,6,No,Sold
Whitefield - Bangalore,3,1380,124.91,4,No,Available
Marathahalli - Bangalore,1,541,35.28,12,Yes,Sold
Miyapur - Hyderabad,2,1030,57.46,3,Yes,Available
Electronic City - Bangalore,3,1751,86.94,15,Yes,Available
Gurgaon - Delhi,2,992,130.42,6,Yes,Sold
Madhapur - Hyderabad,2,1005,73.5,20,No,Sold
Bandra - Mumbai,2,995,379.21,1,Yes,Sold
HSR Layout - Bangalore,3,1278,129.41,6,No,Sold
Thane - Mumbai,4,1720,179.85,15,Yes,Available
Navi Mumbai - Mumbai,2,1073,112.09,4,No,Available
Thane - Mumbai,3,1666,225.17,0,Yes,Sold
Wakad - Pune,3,1619,115.67,6,Yes,Available
Jubilee Hills - Hyderabad,3,1752,344.99,0,Yes,Sold
Vasant Kunj - Delhi,3,1652,333.41,8,Yes,Available
Koramangala - Bangalore,2,957,128.89,7,Yes,Sold
Velachery - Chennai,2,1015,89.19,8,Yes,Available
Borivali - Mumbai,4,2458,552.27,7,Yes,Available
Miyapur - Hyderabad,3,1708,90.04,0,Yes,Available
Navi Mumbai - Mumbai,2,1034,124.57,5,Yes,Sold
Banjara Hills - Hyderabad,2,1083,138.95,4,No,Sold
Banjara Hills - Hyderabad,3,1724,201.61,10,Yes,Available
Borivali - Mumbai,3,1751,307.81,6,No,Sold
Tambaram - Chennai,2,1135,77.45,3,Yes,Available
Miyapur - Hyderabad,2,1165,62.75,1,Yes,Available
Rohini - Delhi,3,1384,112.89,0,No,Available
Marathahalli - Bangalore,2,1040,86.98,2,No,Available
Sarjapur - Bangalore,2,1034,76.17,15,No,Available
Borivali - Mumbai,2,1202,210.28,10,No,Available
Hitech City - Hyderabad,2,1114,87.25,6,No,Available
Gurgaon - Delhi,2,1088,169.21,4,No,Sold
Banjara Hills - Hyderabad,1,488,79.05,1,Yes,Sold
Tambaram - Chennai,2,1021,44.71,6,No,Available
Velachery - Chennai,2,1102,95.34,10,Yes,Sold
Thane - Mumbai,2,972,134.09,5,Yes,Available
Gurgaon - Delhi,2,1096,104.57,15,Yes,Sold
Wakad - Pune,3,1458,113.96,4,Yes,Available
Hebbal - Bangalore,2,1069,94.41,3,Yes,Available
Sarjapur - Bangalore,2,1019,57.84,10,No,Sold
Anna Nagar - Chennai,3,1608,219.98,4,Yes,Sold
Hebbal - Bangalore,2,1051,95.55,3,Yes,Sold
Hinjewadi - Pune,2,940,87.25,5,Yes,Available
Gachibowli - Hyderabad,3,1706,170.27,5,Yes,Sold
Vasant Kunj - Delhi,4,2390,487.23,1,Yes,Sold
Gurgaon - Delhi,3,1762,215.68,1,Yes,Available
Jubilee Hills - Hyderabad,1,522,74.49,3,Yes,Available
Jubilee Hills - Hyderabad,3,1783,304.82,6,No,Sold
HSR Layout - Bangalore,3,1661,149.47,20,No,Available
Noida Sector 62 - Delhi,2,1070,83.35,5,Yes,Sold
Velachery - Chennai,3,1484,120.9,12,Yes,Available
Banjara Hills - Hyderabad,2,1096,150.61,12,No,Sold
Hadapsar - Pune,2,989,60.84,15,Yes,Sold
Kukatpally - Hyderabad,2,995,69.54,8,Yes,Available
Navi Mumbai - Mumbai,3,1686,190.33,4,Yes,Available
OMR - Chennai,3,1781,123.85,5,No,Sold
Andheri - Mumbai,2,1122,315.97,1,Yes,Available
Wakad - Pune,4,2388,210.19,1,Yes,Available
Hebbal - Bangalore,3,1427,136.62,8,Yes,Sold
Hebbal - Bangalore,2,1076,114.44,0,Yes,Sold
Marathahalli - Bangalore,4,2241,161.34,15,Yes,Available
Thane - Mumbai,2,1101,114.34,7,Yes,Available
Powai - Mumbai,4,2279,500.13,6,Yes,Available
Madhapur - Hyderabad,2,1085,83.89,5,Yes,Sold
Bandra - Mumbai,3,1660,610.91,5,No,Sold
HSR Layout - Bangalore,2,1025,127.64,3,No,Sold
Indiranagar - Bangalore,2,1069,148.93,3,Yes,Available
Vasant Kunj - Delhi,2,1163,211.75,0,No,Available
Electronic City - Bangalore,3,1754,134.18,6,Yes,Sold
Madhapur - Hyderabad,2,1088,100.26,0,Yes,Sold
Rohini - Delhi,3,1698,154.09,1,No,Sold
Tambaram - Chennai,2,1155,55.76,8,Yes,Available
Whitefield - Bangalore,3,1516,140.55,7,Yes,Available
Kondapur - Hyderabad,1,523,38.37,7,No,Available
Bandra - Mumbai,1,535,251.75,6,No,Available
Baner - Pune,2,991,100.85,4,Yes,Available
Madhapur - Hyderabad,3,1664,137.71,7,Yes,Sold
Whitefield - Bangalore,1,558,42.18,20,Yes,Sold
Powai - Mumbai,3,1698,493.07,0,Yes,Sold
Koramangala - Bangalore,3,1991,215.02,6,Yes,Available
Powai - Mumbai,2,1083,247.15,6,Yes,Sold
Marathahalli - Bangalore,2,932,86.65,1,Yes,Available
Gurgaon - Delhi,2,1014,161.24,2,Yes,Available
Tambaram - Chennai,2,972,60.66,6,Yes,Available
Velachery - Chennai,2,1098,89.59,1,Yes,Available
Whitefield - Bangalore,3,1633,111.64,7,Yes,Available
Powai - Mumbai,2,929,216.34,2,No,Sold
Madhapur - Hyderabad,3,1525,132.24,10,Yes,Sold
Miyapur - Hyderabad,2,921,52.17,0,Yes,Available
Electronic City - Bangalore,2,1149,88.53,2,Yes,Available
Kothrud - Pune,2,1172,122.87,1,Yes,Sold
Vasant Kunj - Delhi,3,1476,287.11,1,No,Available
Hinjewadi - Pune,2,827,63.79,8,Yes,Available
Baner - Pune,3,1611,180.51,3,Yes,Sold
Hebbal - Bangalore,3,1669,154.69,6,Yes,Available
Powai - Mumbai,2,1030,304.33,3,Yes,Available
Bandra - Mumbai,3,1361,682.19,7,No,Available
Powai - Mumbai,3,1547,396.34,2,Yes,Sold
Marathahalli - Bangalore,2,1007,89.2,3,No,Available
Banjara Hills - Hyderabad,3,1427,184.82,0,No,Available
Noida Sector 62 - Delhi,3,1380,101.16,3,No,Available
Tambaram - Chennai,3,1614,77.37,2,Yes,Sold
Whitefield - Bangalore,3,1403,111.88,12,Yes,Sold
HSR Layout - Bangalore,2,1236,131.26,5,Yes,Sold
Gurgaon - Delhi,2,1030,118.07,0,No,Available
Thane - Mumbai,2,1090,158.75,4,No,Available
HSR Layout - Bangalore,2,951,109.86,5,Yes,Sold
Jubilee Hills - Hyderabad,3,1527,275.96,4,Yes,Sold
Velachery - Chennai,2,1028,82.89,4,No,Sold
Baner - Pune,3,1860,148.16,5,Yes,Available
Kondapur - Hyderabad,3,1488,127.52,6,Yes,Available
Gachibowli - Hyderabad,3,1835,144.81,3,Yes,Sold
Kothrud - Pune,2,940,105.32,5,Yes,Available
Baner - Pune,2,1063,74.42,12,Yes,Available
Banjara Hills - Hyderabad,1,585,74.39,6,Yes,Available
Bandra - Mumbai,4,2308,1138.82,5,Yes,Sold
Bandra - Mumbai,2,1235,509.16,7,Yes,Available
Thane - Mumbai,3,1650,225.54,3,No,Available
Wakad - Pune,1,618,34.78,10,No,Sold
Dwarka - Delhi,2,1053,88.68,2,Yes,Available
Madhapur - Hyderabad,3,1382,98.09,20,Yes,Sold
Sarjapur - Bangalore,3,1478,127.51,1,Yes,Available
Jubilee Hills - Hyderabad,4,2620,437.45,2,No,Available
Borivali - Mumbai,2,988,188.15,7,Yes,Available
Baner - Pune,3,1548,120.37,12,Yes,Sold
Bandra - Mumbai,3,1661,782.17,20,No,Available
Hebbal - Bangalore,3,1681,147.51,3,Yes,Available
Kukatpally - Hyderabad,2,1033,80.29,1,No,Sold
Electronic City - Bangalore,2,986,69.58,1,Yes,Available
Andheri - Mumbai,2,1062,213.63,3,Yes,Sold
Wakad - Pune,4,2392,222.24,3,No,Sold
Porur - Chennai,3,1791,127.29,6,No,Sold
Hinjewadi - Pune,2,1018,58.22,12,Yes,Sold
Velachery - Chennai,4,2563,241.13,1,Yes,Available
Bandra - Mumbai,3,1678,712.15,15,No,Sold
Koramangala - Bangalore,2,997,135.87,2,Yes,Available
Miyapur - Hyderabad,3,1606,79.7,10,Yes,Sold
Kukatpally - Hyderabad,3,1409,82.88,10,Yes,Available
Borivali - Mumbai,1,645,111.0,12,Yes,Available
Hinjewadi - Pune,3,1578,101.37,15,No,Sold
Dwarka - Delhi,4,2553,268.03,5,Yes,Sold
Andheri - Mumbai,3,1513,306.75,3,Yes,Sold
Navi Mumbai - Mumbai,3,1428,180.91,5,Yes,Sold
Hinjewadi - Pune,3,1583,105.83,12,Yes,Available
Wakad - Pune,2,1172,114.02,5,Yes,Sold
Porur - Chennai,1,585,34.72,4,No,Available
Baner - Pune,2,1114,124.03,2,Yes,Available
Navi Mumbai - Mumbai,3,1582,196.75,0,Yes,Available
Kukatpally - Hyderabad,2,1143,66.33,6,Yes,Available
Powai - Mumbai,3,1671,417.31,4,Yes,Available
Kukatpally - Hyderabad,3,1618,98.1,7,Yes,Available
Noida Sector 62 - Delhi,2,1082,89.3,6,Yes,Sold
Porur - Chennai,4,2523,184.39,5,No,Available
Hinjewadi - Pune,4,2473,216.59,1,Yes,Available
Madhapur - Hyderabad,4,2179,172.02,4,No,Available
Gachibowli - Hyderabad,1,487,36.89,5,No,Sold
Madhapur - Hyderabad,2,1091,91.68,5,Yes,Sold
HSR Layout - Bangalore,2,1026,85.23,15,Yes,Available
Jubilee Hills - Hyderabad,3,1414,284.7,1,Yes,Available
OMR - Chennai,3,1416,102.13,5,No,Available
Tambaram - Chennai,3,1679,79.48,7,Yes,Available
Marathahalli - Bangalore,3,1522,119.4,1,Yes,Sold
Jubilee Hills - Hyderabad,3,1764,316.85,2,Yes,Available
Andheri - Mumbai,2,981,167.04,12,No,Available
OMR - Chennai,2,1078,84.2,5,No,Available
Banjara Hills - Hyderabad,4,2557,419.13,0,Yes,Sold
Wakad - Pune,3,1681,122.86,5,No,Sold
Indiranagar - Bangalore,2,984,163.28,2,Yes,Available
Powai - Mumbai,3,1723,356.89,3,Yes,Available
Noida Sector 62 - Delhi,4,2433,194.72,3,No,Available
Noida Sector 62 - Delhi,4,2644,240.31,3,Yes,Sold
Baner - Pune,3,1616,113.24,20,No,Available
Electronic City - Bangalore,3,1542,105.01,7,Yes,Sold
Banjara Hills - Hyderabad,4,2425,445.38,5,No,Sold
Hinjewadi - Pune,3,1618,119.11,4,Yes,Sold
Indiranagar - Bangalore,3,1776,248.59,0,Yes,Sold
Hitech City - Hyderabad,1,526,45.64,10,No,Available
Sarjapur - Bangalore,3,1595,120.95,0,No,Available
Hebbal - Bangalore,2,953,107.56,1,Yes,Available
Kothrud - Pune,3,1548,188.62,4,Yes,Sold
Rohini - Delhi,1,613,43.15,4,Yes,Available
Whitefield - Bangalore,2,1053,75.36,12,Yes,Sold
Kukatpally - Hyderabad,4,2189,161.86,5,Yes,Sold
Porur - Chennai,2,1014,89.66,0,Yes,Available
Jubilee Hills - Hyderabad,2,939,138.18,12,Yes,Available
Anna Nagar - Chennai,2,1117,170.21,0,Yes,Sold
Borivali - Mumbai,1,544,77.69,7,No,Available
Baner - Pune,2,1140,101.09,7,No,Sold
Wakad - Pune,1,527,34.68,7,Yes,Sold
Sarjapur - Bangalore,2,1104,78.8,0,Yes,Sold
Bandra - Mumbai,2,898,428.07,12,Yes,Available
Madhapur - Hyderabad,2,992,73.83,5,Yes,Sold
Whitefield - Bangalore,2,1059,76.47,2,Yes,Sold
Electronic City - Bangalore,3,1520,103.4,20,Yes,Available
Indiranagar - Bangalore,1,550,64.12,5,Yes,Available
HSR Layout - Bangalore,2,1060,92.85,6,Yes,Sold
Borivali - Mumbai,2,1137,177.92,4,Yes,Available
Kothrud - Pune,3,1776,193.36,5,Yes,Sold
Andheri - Mumbai,2,993,195.24,10,Yes,Available
Gachibowli - Hyderabad,2,1129,99.03,10,Yes,Available
Tambaram - Chennai,2,1033,57.41,10,No,Available
OMR - Chennai,3,1601,124.5,7,Yes,Available
Koramangala - Bangalore,2,981,137.9,1,Yes,Sold
Kukatpally - Hyderabad,3,1748,89.02,12,No,Available
Gachibowli - Hyderabad,1,591,46.58,12,Yes,Available
Hitech City - Hyderabad,3,1768,144.36,10,No,Available
Indiranagar - Bangalore,2,1115,184.17,2,No,Available
Hitech City - Hyderabad,3,1672,157.56,3,Yes,Sold
Gachibowli - Hyderabad,2,1080,82.92,6,No,Available
Indiranagar - Bangalore,2,954,160.45,2,Yes,Available
Hitech City - Hyderabad,3,1395,144.48,10,Yes,Sold
Borivali - Mumbai,3,1483,238.59,8,No,Sold
Banjara Hills - Hyderabad,2,939,145.58,6,No,Sold
OMR - Chennai,3,1650,131.19,8,Yes,Available
Hinjewadi - Pune,3,1526,95.36,8,Yes,Sold
Gurgaon - Delhi,2,923,128.45,6,Yes,Available
Powai - Mumbai,2,1003,205.48,4,Yes,Sold
Andheri - Mumbai,3,1515,375.76,2,No,Sold
Whitefield - Bangalore,2,1029,85.41,1,Yes,Sold
Andheri - Mumbai,2,981,243.21,3,Yes,Available
Navi Mumbai - Mumbai,1,540,44.81,15,No,Available
Tambaram - Chennai,2,1076,66.17,0,Yes,Available
Borivali - Mumbai,1,508,90.81,5,No,Available
Kothrud - Pune,2,1115,104.0,7,Yes,Available
Electronic City - Bangalore,2,1164,65.77,15,Yes,Sold
Hinjewadi - Pune,3,1577,131.13,4,No,Available
Hadapsar - Pune,3,1720,109.8,5,Yes,Available
Marathahalli - Bangalore,4,2442,172.74,10,No,Available
Whitefield - Bangalore,3,1514,106.01,15,No,Available
Wakad - Pune,2,1070,90.33,20,Yes,Sold
Miyapur - Hyderabad,2,951,51.14,4,No,Sold
Dwarka - Delhi,2,1099,95.18,7,Yes,Available
OMR - Chennai,2,1038,87.34,1,Yes,Sold
Kukatpally - Hyderabad,3,1661,103.68,3,No,Sold
Whitefield - Bangalore,2,1037,105.77,2,Yes,Sold
Baner - Pune,2,1072,82.71,7,No,Sold
Kukatpally - Hyderabad,2,998,55.83,4,No,Available
Jubilee Hills - Hyderabad,3,1592,249.29,6,Yes,Available
Thane - Mumbai,4,2289,355.49,4,Yes,Available
OMR - Chennai,2,1001,60.74,5,Yes,Available
Dwarka - Delhi,3,1686,162.53,5,No,Available
Whitefield - Bangalore,1,563,44.5,5,Yes,Available
Electronic City - Bangalore,2,930,63.32,1,No,Available
Electronic City - Bangalore,1,524,37.33,1,Yes,Available
Hadapsar - Pune,2,1033,72.14,2,Yes,Sold
Miyapur - Hyderabad,2,1115,62.41,6,Yes,Available
Porur - Chennai,2,1025,74.08,2,Yes,Sold
Thane - Mumbai,3,1858,231.77,8,Yes,Available
Borivali - Mumbai,3,1860,277.08,10,Yes,Available
Baner - Pune,2,912,78.66,0,Yes,Sold
Anna Nagar - Chennai,4,2472,274.6,12,Yes,Available
Hitech City - Hyderabad,2,954,90.17,15,Yes,Sold
Noida Sector 62 - Delhi,1,557,34.27,3,Yes,Available
OMR - Chennai,3,1591,103.75,3,Yes,Sold
Velachery - Chennai,2,1114,80.81,5,Yes,Sold
Rohini - Delhi,2,1054,80.97,7,Yes,Sold
Kondapur - Hyderabad,2,927,75.4,2,Yes,Available
Miyapur - Hyderabad,2,1025,54.42,2,Yes,Sold
Electronic City - Bangalore,3,1891,138.1,3,Yes,Sold
Gachibowli - Hyderabad,2,1137,89.81,6,Yes,Sold
Hitech City - Hyderabad,3,1590,124.74,12,Yes,Available
